objectid,tract_id,haz_idx
2001,48479980000,37
2002,48479001811,56
2003,48201553900,52
2004,48201552900,45
2005,48427950702,95
2006,48209010902,80
2007,48291700700,79
2008,48291700800,78
2009,48291700900,78
2010,6095251100,25
2011,6095250701,36
2012,6095250502,43
2013,6095250501,31
2014,6095250200,33
2015,6023010600,81
2016,6023000800,61
2017,41039000902,89
2018,41039001002,83
2019,41039000403,69
2020,48201253800,50
2021,48201254000,54
2022,48201241300,54
2023,6013337300,55
2024,6013326000,51
2025,41019200000,77
2026,48201350601,41
2027,48201340302,42
2028,48201254100,44
2029,6023000500,17
2030,48201552001,42
2031,48201313800,12
2032,48201313900,11
2033,48201320200,10
2034,48201210600,13
2035,48201522100,37
2036,48201532300,36
2037,48201320700,13
2038,48355006200,99
2039,48201542400,42
2040,41043030800,49
2041,41035970300,93
2042,6075035202,27
2043,6075033000,24
2044,6075032700,25
2045,48201254300,30
2046,48201412500,29
2047,6023010400,67
2048,6023010300,88
2049,6023010200,90
2050,6095252707,42
2051,6095252706,56
2052,6095252402,63
2053,6095253201,46
2054,41039003400,33
2055,41039000100,90
2056,41039002102,15
2057,41029002000,7
2058,48201542600,45
2059,48201542700,52
2060,41039001301,84
2061,41039000402,87
2062,6095252202,69
2063,6023010800,87
2064,6023011200,96
2065,41039002503,36
2066,41039005200,33
2067,41039004700,27
2068,41039004900,29
2069,41039004600,31
2070,41003000900,64
2071,41029002300,78
2072,41029000202,3
2073,41029001900,9
2074,48339690300,75
2075,41029001500,64
2076,41029002400,52
2077,41029003001,68
2078,41029001601,34
2079,48201341302,39
2080,41041951200,97
2081,41041951500,97
2082,41041951600,97
2083,41041951700,97
2084,41015950100,97
2085,41015950301,96
2086,41015950200,95
2087,41015950400,95
2088,41011000502,91
2089,41011000100,90
2090,41011001000,93
2091,48201555501,43
2092,48201555702,54
2093,41019170000,91
2094,48217960800,77
2095,48217961100,87
2096,41029000800,18
2097,48201341400,45
2098,48201341600,61
2099,41039000706,62
2100,41039001803,59
2101,41039002501,29
2102,41039005400,61
2103,41039001903,37
2104,41039003900,4
2105,41039000903,83
2106,41039000702,94
2107,41029001301,20
2108,41029000300,10
2109,6023011100,89
2110,6075026004,13
2111,48355000600,44
2112,48201233103,26
2113,48201232701,22
2114,41039002403,24
2115,41039002700,20
2116,6095252104,58
2117,48201455200,58
2118,48201455300,59
2119,48201541300,49
2120,48201554301,49
2121,41039002902,28
2122,41033360800,22
2123,41033360600,1
2124,48201541100,42
2125,6075030102,23
2126,6075022600,3
2127,6075021700,18
2128,6075021500,11
2129,6075021300,9
2130,6075021100,9
2131,6095252305,69
2132,6095251802,52
2133,6095253108,42
2134,6095253000,64
2135,6095252909,61
2136,6095253203,37
2137,41029001200,18
2138,41029001302,36
2139,41003000100,44
2140,41003010400,85
2141,41029000501,17
2142,6095253107,42
2143,48465950201,90
2144,48201550100,25
2145,48479000700,64
2146,22055001901,76
2147,22053000600,81
2148,48339693000,71
2149,48339694000,73
2150,48339692900,68
2151,41039001902,36
2152,48201252700,54
2153,48201311500,10
2154,48201311600,4
2155,48201412000,20
2156,41043030904,25
2157,41043020802,13
2158,41043020801,23
2159,48201322100,14
2160,48201322200,7
2161,48201210900,11
2162,48201313300,19
2163,48201313500,15
2164,48201321401,28
2165,48201552602,44
2166,48201411300,8
2167,48201411400,14
2168,48201430400,33
2169,48339692700,67
2170,48339691000,64
2171,48201454400,52
2172,48355003102,69
2173,48355003305,66
2174,41039002404,23
2175,6075022802,1
2176,6075022901,7
2177,41003010600,0
2178,41039000404,53
2179,41029002800,68
2180,41029001700,41
2181,48201550402,40
2182,48201550301,35
2183,41039001201,81
2184,48201510700,8
