objectid,tract_id,pov_idx
2001,48479980000,
2002,48479001811,22
2003,48201553900,92
2004,48201552900,74
2005,48427950702,25
2006,48209010902,86
2007,48291700700,46
2008,48291700800,48
2009,48291700900,36
2010,6095251100,13
2011,6095250701,3
2012,6095250502,52
2013,6095250501,44
2014,6095250200,14
2015,6023010600,45
2016,6023000800,48
2017,41039000902,31
2018,41039001002,42
2019,41039000403,26
2020,48201253800,45
2021,48201254000,18
2022,48201241300,81
2023,6013337300,94
2024,6013326000,91
2025,41019200000,34
2026,48201350601,97
2027,48201340302,85
2028,48201254100,40
2029,6023000500,28
2030,48201552001,53
2031,48201313800,9
2032,48201313900,85
2033,48201320200,18
2034,48201210600,69
2035,48201522100,25
2036,48201532300,81
2037,48201320700,41
2038,48355006200,96
2039,48201542400,34
2040,41043030800,15
2041,41035970300,18
2042,6075035202,82
2043,6075033000,59
2044,6075032700,87
2045,48201254300,30
2046,48201412500,92
2047,6023010400,37
2048,6023010300,51
2049,6023010200,36
2050,6095252707,10
2051,6095252706,98
2052,6095252402,21
2053,6095253201,67
2054,41039003400,21
2055,41039000100,68
2056,41039002102,19
2057,41029002000,85
2058,48201542600,60
2059,48201542700,36
2060,41039001301,24
2061,41039000402,52
2062,6095252202,91
2063,6023010800,24
2064,6023011200,46
2065,41039002503,81
2066,41039005200,85
2067,41039004700,63
2068,41039004900,81
2069,41039004600,45
2070,41003000900,57
2071,41029002300,28
2072,41029000202,21
2073,41029001900,12
2074,48339690300,42
2075,41029001500,60
2076,41029002400,58
2077,41029003001,20
2078,41029001601,15
2079,48201341302,63
2080,41041951200,73
2081,41041951500,30
2082,41041951600,14
2083,41041951700,40
2084,41015950100,25
2085,41015950301,70
2086,41015950200,25
2087,41015950400,33
2088,41011000502,52
2089,41011000100,23
2090,41011001000,32
2091,48201555501,67
2092,48201555702,95
2093,41019170000,45
2094,48217960800,72
2095,48217961100,49
2096,41029000800,18
2097,48201341400,98
2098,48201341600,92
2099,41039000706,24
2100,41039001803,18
2101,41039002501,42
2102,41039005400,62
2103,41039001903,20
2104,41039003900,32
2105,41039000903,44
2106,41039000702,48
2107,41029001301,31
2108,41029000300,25
2109,6023011100,40
2110,6075026004,40
2111,48355000600,14
2112,48201233103,19
2113,48201232701,23
2114,41039002403,73
2115,41039002700,42
2116,6095252104,75
2117,48201455200,85
2118,48201455300,67
2119,48201541300,40
2120,48201554301,97
2121,41039002902,40
2122,41033360800,39
2123,41033360600,34
2124,48201541100,91
2125,6075030102,60
2126,6075022600,80
2127,6075021700,60
2128,6075021500,77
2129,6075021300,71
2130,6075021100,77
2131,6095252305,68
2132,6095251802,16
2133,6095253108,53
2134,6095253000,
2135,6095252909,81
2136,6095253203,29
2137,41029001200,40
2138,41029001302,32
2139,41003000100,30
2140,41003010400,34
2141,41029000501,15
2142,6095253107,50
2143,48465950201,79
2144,48201550100,8
2145,48479000700,7
2146,22055001901,82
2147,22053000600,19
2148,48339693000,37
2149,48339694000,56
2150,48339692900,49
2151,41039001902,23
2152,48201252700,37
2153,48201311500,20
2154,48201311600,11
2155,48201412000,98
2156,41043030904,24
2157,41043020802,14
2158,41043020801,8
2159,48201322100,16
2160,48201322200,28
2161,48201210900,9
2162,48201313300,14
2163,48201313500,11
2164,48201321401,63
2165,48201552602,87
2166,48201411300,79
2167,48201411400,97
2168,48201430400,98
2169,48339692700,49
2170,48339691000,89
2171,48201454400,99
2172,48355003102,37
2173,48355003305,6
2174,41039002404,68
2175,6075022802,93
2176,6075022901,49
2177,41003010600,32
2178,41039000404,32
2179,41029002800,49
2180,41029001700,34
2181,48201550402,44
2182,48201550301,16
2183,41039001201,32
2184,48201510700,79
2185,48201554302,80
2186,48201341301,63
2187,48201341502,78
2188,48339692601,22
2189,48339690601,89
2190,48201510800,87
2191,6095980000,
2192,6095250801,14
2193,6095252914,94
2194,48201322700,51
2195,48201322800,51
2196,48201241103,40
2197,48201431900,98
2198,48201432100,63
2199,48339691100,84
2200,48201552101,82
2201,6095252317,57
2202,6095252314,64
2203,41039002201,83
2204,41039003201,15
2205,48339692500,44
2206,48355005408,69
2207,48201410100,23
2208,48201510300,85
2209,48201510400,66
2210,48201510500,32
2211,48201253100,79
2212,48201454200,50
2213,48201211400,22
2214,48201254200,59
2215,48201250401,91
2216,48201422402,11
2217,48201422702,69
2218,48201421402,12
2219,48339691700,87
2220,48201250701,54
2221,48201222401,13
2222,48201533701,27
2223,6075030700,92
2224,6075030600,97
2225,48339693102,52
2226,48201231500,10
2227,48201231600,38
2228,48201430300,98
2229,48339691200,72
2230,48391950400,59
2231,48391950200,29
2232,48201532600,41
2233,48201541002,80
2234,48355001300,13
2235,48201312100,
2236,48201312200,2
2237,48201312400,11
2238,48201312600,87
2239,48201541203,98
2240,48201333201,21
2241,48201222402,26
2242,48201222503,22
2243,48201314002,76
2244,48201252302,49
2245,48355005414,95
2246,48355003306,49
2247,48355003204,95
2248,48355002602,24
2249,48201232200,30
2250,48355005410,96
2251,48339692400,55
2252,48201554101,80
2253,48201240701,31
2254,48201231200,4
2255,48201341202,56
2256,48201410200,88
2257,48201410300,62
2258,48029131614,62
2259,48029191812,77
2260,48201541900,45
2261,48029121813,37
2262,48029121908,76
2263,48029150400,10
2264,48201455000,66
2265,48339691900,68
2266,48201411700,88
2267,48201411800,72
2268,48201342400,22
2269,48201522500,95
2270,48201410500,92
2271,48201410600,82
2272,48201430200,90
2273,48355006400,15
2274,48201421401,27
2275,6075030400,58
2276,6075033201,56
2277,6075030301,91
2278,6075030202,59
2279,48201240802,8
2280,48339694302,95
2281,48201540601,98
2282,48201540902,69
2283,48339690800,85
2284,48201553403,97
2285,48201550401,44
2286,48029190501,44
2287,48453001839,78
2288,48453001401,87
2289,48453002422,34
2290,48453002413,9
2291,48453001846,89
2292,48453001305,28
2293,48201540602,35
2294,48201231300,18
2295,48201231400,32
2296,48201454600,48
2297,48201454700,75
2298,48201555502,88
2299,48201555701,99
2300,48453001304,51
2301,48453001303,59
2302,48245980000,99
2303,48029171602,21
2304,48029161503,15
2305,48029171919,41
2306,48201454800,46
2307,48201541400,74
2308,48201314001,81
2309,48201552102,70
2310,48201552103,66
2311,48355001701,21
2312,48355980000,
2313,48201330700,22
2314,48201241102,61
2315,48201252600,16
2316,48201252800,34
2317,48201254500,40
2318,48201543003,66
2319,6095252315,24
2320,6095253404,15
2321,48201553802,66
2322,6095252313,49
2323,48201330900,51
2324,48201331500,18
2325,48201323801,41
2326,48029182003,93
2327,48057000300,78
2328,48057000400,42
2329,48297950400,42
2330,48297950200,48
2331,48285000300,93
2332,48285000200,42
2333,48285000100,42
2334,48059030200,24
2335,48061011000,5
2336,48201413202,91
2337,48355003602,61
2338,48201250702,81
2339,48201555301,93
2340,48201521000,6
2341,48201233200,40
2342,48201454000,83
2343,48201454100,34
2344,48201312800,0
2345,48201312900,7
2346,48201313100,85
2347,48201433400,23
2348,48201321800,60
2349,48201543001,89
2350,48201310900,30
2351,48201410900,55
2352,48201411100,90
2353,48339692001,73
2354,48201431600,94
2355,48201510900,39
